Day 32 (look below),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Review,,Review,,Review,,Review,,Review,,Review,,Review,,Review
Group 1,,Group 2,,Group 3,,Group 4,,Group 5,,Group 6,,Group 7,,Group 8
Take Test 1,,Take Test 2,,Take Test 3,,Take Test 4,,Take Test 5,,Take Test 6,,Take Test 7,,Take Test 8
abound,,adulterate,,abate,,abstain,,aloof,,admonish,,appease,,accentuate
amorphous,,advocate,,abjure,,approbation,,clangor,,aesthetic,,arbitrary,,conjectural
austere,,aggrandize,,anomalous,,cherish,,conventional,,affectation,,archaic,,convivial
belie,,alacrity,,antipathy ,,corroborate,,debunk,,alleviate,,clamorous,,decadent
capricious,,ambivalent,,arcane,,disparate,,diminutive,,analogous,,dearth,,egregious
cerebral,,ameliorate,,arduous,,emulate,,discernible,,bolster,,explicable,,evanescent
congenial,,amenable,,artless,,enervate,,enigmatic,,chauvinistic,,hyperbole,,flamboyant
conspicuous,,anachronistic,,ascetic,,ephemeral,,estranged,,connoisseur,,immutable,,forestall
cursory,,audacious,,assuage ,,fervid,,extravagant,,dissemble ,,indefatigable,,gainsay
daunting,,avaricious,,betray,,garrulous,,fanciful,,dogged,,indolent,,galvanize
deify,,banal,,bucolic ,,incendiary,,frivolous,,dupe,,insular,,indiscriminate
didactic,,benign,,burgeon,,inimical,,heterogeneous,,empirical,,intransigent,,innocuous
disseminate,,brazen,,cacophonous ,,intimate ,,imperious,,engender,,intrepid,,momentary
feasible,,calumny,,canonize,,invigorate,,impertinent,,entitled,,irreverent,,mundane
flout,,candid,,censure,,mitigate,,invasive,,pertinacious,,loathe,,nettlesome
homogeneous,,castigate,,chicanery ,,obsolete,,irresolute,,presumptuous,,malign,,nullify
humdrum,,caustic,,coalesce,,opaque,,laudable,,probity,,malleable,,obviate
insipid,,construe,,cogent,,paradigmatic,,lax,,proliferate,,neophyte,,omnipresent
loquacious,,contrite,,compelling,,pedantic,,marginalize,,specious,,plastic,,oust
misanthropic,,convoluted,,contend,,placid,,panache,,spurious,,platitude,,palpable
misnomer,,covet,,copious ,,polemical,,plodding,,subjective,,prescient,,perfidy
negligent,,craven,,cosmopolitan,,precipitate,,prosaic,,subvert,,pristine,,profuse
obsequious,,decorum,,deference,,profundity,,remedial,,timorous,,reproach,,pugnacious
placate,,deft,,desultory ,,prophetic,,restive,,tortuous,,robust,,sagacious
proclivity,,demur,,diffident,,prudent,,sporadic,,tractable,,salubrious,,sanguine
puerile,,derivative,,dilatory ,,punctilious,,stigmatize,,transient,,sanction,,scant
quixotic,,desiccate,,equivocate,,recondite,,undermine,,ubiquitous,,sedulous,,skullduggery
spendthrift,,diatribe,,polarize,,scrupulous,,utterly,,underscore,,soporific,,trivial
taciturn,,incredulous,,prodigal,,tranquil,,weary,,venal,,stern,,utilitarian
wary,,ingenuous,,verbose,,vacillate,,zealous,,venerate,,tendentious,,vapid
,,,,,,,,,,,,,,
Review,,Review,,Review,,Review,,Review,,Review,,Review,,Review
Group 9,,Group 10,,Group 11,,Group 12,,Group 13,,Group 14,,Group 15,,Group 16
Take Test 9,,Take Test 10,,Take Test 11,,Take Test 12,,Take Test 13,,Take Test 14,,Take Test 15,,Take Test 16
boorish,,acumen,,abhor,,acrimonious ,,affinity,,acquiesce,,alienate,,antedate
brook,,antithesis,,boisterous,,belligerent,,altruistic,,adroit,,apathy,,banish
circumspect,,ascribe,,chivalrous,,beneficent,,baroque,,amend,,apropos,,bridle
comity,,befuddled,,churlish,,canny,,byzantine,,animus,,apt,,comply
commensurate,,eschew,,clandestine,,cavalier,,compromise,,apologist,,cloak,,crestfallen
cordial,,esoteric,,complacent,,distressed ,,conciliatory,,astringent,,consensus,,curtail
deleterious,,evasive,,cumbersome,,dwindling,,countenance,,collaborate,,distort,,elucidate
dichotomy,,exculpate,,debilitating,,eclipse,,covert,,competent,,divergent,,evade
edify,,expedite,,deliberate,,encyclopedic ,,credible,,correlate,,elated,,feckless
elicit,,fastidious,,droll,,exacerbate,,diffuse,,deride,,enchant,,fester
erudite,,feign,,eccentric,,exasperated,,documentary,,dictate,,entrenched,,iconoclastic
fecund,,furtive,,fractious,,fungible,,exhaustive,,discreet,,exotic,,immure
feeble,,hamper,,limpid,,hackneyed,,exhilarating,,divorced,,exploitative,,improvise
felicitous,,indispensable,,mawkish,,incongruous,,extraneous,,elitist,,foreseeable,,inhibit
forbear,,lament,,obeisance,,interchangeable,,fervor,,exacting,,forsake,,inscrutable
haphazard,,myopic,,ostentatious,,laconic,,futile,,flummoxed,,gratify,,lionize
hodgepodge,,nonchalant,,panacea,,lucrative,,illusory,,fruitful,,heed,,monotonous
impede,,partial,,perfunctory,,magisterial,,invidious,,inborn,,judicious,,peculiar
impetuous,,pensive,,perilous,,onerous,,lethargic,,polymath,,lucid,,premeditate
irascible,,portend,,pervasive ,,opprobrium,,metaphorical,,reticent,,pertinent,,profligate
mercenary,,provincial,,preclude,,parsimonious,,mimic,,stringent,,propriety,,reconcile
meticulous,,rudimentary,,predilection ,,peripheral,,numinous,,subservient,,scintillating,,refine
mordant,,salutary,,rapacious,,provocative,,obscure,,surreptitious,,sensational,,relinquish
outstrip,,sever,,relish,,renounce,,overt,,tantalizing,,sophisticated,,ruminate
